feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
-0.34643789298865063,0.4553196595572467,-1.6686627070136322,-0.8620854950098128,0.49291084812374153,-0.12431339614548602,1.9351362874003422,-0.6184426549843884,-1.0468389862150573,-0.8896175886602026
0.01404053719712835,-0.16082968616578383,2.2303596488319384,-0.39911571852552363,0.05444456336457185,0.8841818151951191,-0.10798056134293389,0.5556069842518202,0.3949066359501769,0.8372050226472976
-1.4078781703965773,0.8078494136349023,-0.13828364464101,0.18717858533399576,-0.38665813551339834,1.6590487297919927,-2.0470691310925226,1.3993169863061743,-0.6790071212021919,1.5289851345959593
1.2212159632534685,1.0149885167826984,0.8281299823497013,2.2662927082101914,-0.5949556701334289,-0.5812695375284159,-0.6558941461838667,0.9251488533568732,-1.2991613442508536,1.0111668672107617
-0.28844018276667344,-1.067713065355306,-1.0776008975563638,-0.7967737630194123,-1.4860425818603866,0.5141287656735564,0.8517908644430702,0.9586734372734298,-0.6264840491269837,0.3079310128755357
0.005205684935553051,0.6915319076425244,0.4448621590773117,0.09027953249104458,-1.8583428993401105,-0.16658004391883166,0.11087648013745463,-0.6947726440109934,-0.2691755659389808,-1.2992251500107808
-0.3211054471025893,0.5058687421604646,2.0890595712039643,-1.0127092548002778,-0.023974070269650767,-0.9614690500385404,-0.09256618896659229,-0.22373208113319423,0.832892162099332,0.9741195783904064
0.16281815769810043,-0.11449202010433539,1.1864684326166455,0.17979165086317853,1.5164416176334854,-1.6340320196281182,1.7819709009957654,-0.6177277008871878,-1.0863992928587567,-0.044753328004711504
-1.1637024197482566,0.5689394950042188,-0.46264385554042636,0.28735510483252746,-0.9773387108382874,-0.2224362584359336,0.09693176788019556,-0.18838434888047959,1.5916021583729445,0.5858108272747818
0.20367539201504153,-1.8565207003985744,0.3781894561704642,1.2361403151716697,-0.6899718035350298,-0.19835469221174665,-3.0257398729225997,-1.2456262234117363,-2.0840394715133215,0.10412164629262519
-0.15023349407133077,-0.10581650311071217,-0.43695413897586405,1.019136316265232,-1.2328032263309723,-0.07412453829944396,0.5963891827515404,-0.17939256213126978,-0.09079506777435305,-0.8250796289156435
-0.3349694610956846,0.7183508075095323,-2.01946218467866,-0.15802904903114046,-0.5842151280721943,-0.0703064977144652,1.7731812300260754,-0.446629292587388,1.4893745786091637,1.100308721372732
0.029896317954142267,0.08710581091662675,0.18123494219161268,-0.8251717971872267,0.6268387669020417,-0.6126978470983908,0.03574233551706946,-2.1959626114931305,-0.8632826893283874,0.5350993630394176
-1.123463295211308,0.33396509272135233,-0.5072304552140171,0.9901501711281284,1.2579439688721659,0.17762491871456892,-0.014867416457224348,0.04043611432709912,-0.021444769643944036,1.1916565829964165
